Feature,Importance
SquareFeet,0.5013438861240463
LocationScore,0.21051556675164004
Bedrooms,0.10411022752638054
FamilySuitabilityScore,0.09059283923117822
CrimeIndex,0.06825799321137109
ParkingSpaces,0.016078229016822616
PropertyScore,0.005485926627392637
BathroomDensity,0.002532195087653909
Garden,0.0005151691010585842
BedroomDensity,0.00016698877993227075
Bathrooms,0.00014446544741170638
RoadConnectivity,0.00010583245508808795
HouseAge,5.381982285416865e-05
AccessibilityScore,4.1524904910216506e-05
YearBuilt,3.444467593320619e-05
TotalRooms,1.646983002192466e-05
LuxuryScore,3.7178952571826246e-06
SchoolDistance,3.5387336278309583e-07
MetroDistance,2.847665165900661e-07
EnergyScore,6.487116811653723e-08
GreenAreaScore,0.0
SmartHome,0.0
SolarPanels,0.0
Security,0.0
PowerBackup,0.0
Lift,0.0
Balcony,0.0
Neighborhood,0.0
PropertyType,0.0
Floors,0.0
SwimmingPool,0.0
AmenitiesScore,0.0
HospitalDistance,0.0
HouseSizeCategory,0.0
AgeCategory,0.0
