SquareFeet,Bedrooms,Bathrooms,Floors,ParkingSpaces,YearBuilt,HouseAge,Neighborhood,PropertyType,Balcony,Garden,Lift,Security,PowerBackup,SwimmingPool,SmartHome,SolarPanels,GreenAreaScore,RoadConnectivity,AmenitiesScore,CrimeIndex,SchoolDistance,HospitalDistance,MetroDistance,TotalRooms,FamilySuitabilityScore,LocationScore,LuxuryScore,AccessibilityScore,PropertyScore,EnergyScore,HouseSizeCategory,Price,RecommendationScore
677,3,2,1,1,2018,8,2,1,0,0,1,1,1,0,1,1,7,6,7,10,5.4,2.08,8.34,5,15,40,72,76.7,208.7,85,3,591866,114.445
1155,3,3,3,1,1995,31,2,1,1,1,1,1,0,1,1,1,6,1,8,10,3.06,6.13,3.39,6,19,27,80,78.21,211.21,80,2,591890,112.6735
865,4,5,3,1,2006,20,2,0,0,0,1,1,0,1,1,1,6,5,2,10,5.67,1.28,10.92,9,24,15,80,75.17,203.17,80,3,598951,106.8595
1145,3,4,3,0,2004,22,1,1,0,1,0,1,1,1,1,1,4,1,7,10,2.12,6.05,2.71,7,19,19,75,80.95,200.95,70,2,543275,104.0825
922,3,2,3,0,1992,34,1,0,1,0,0,1,0,1,1,1,2,7,7,10,3.38,0.74,7.5,5,13,33,65,84.26,201.26,60,3,536630,103.69099999999999
689,4,3,3,1,2021,5,2,1,0,1,1,0,1,0,1,1,8,3,4,9,2.07,3.44,7.29,7,22,23,57,81.68,190.68,90,3,596638,101.888
600,3,3,2,0,2005,21,1,0,0,0,1,1,1,1,0,1,5,10,2,8,3.56,9.71,1.17,6,15,32,70,72.28,195.28,55,3,549244,101.348
626,3,2,3,1,1998,28,2,0,1,0,1,0,1,1,1,1,4,5,4,8,7.4,6.68,1.54,5,15,23,75,70.31,189.31,70,3,553809,101.0085
604,3,5,3,1,2014,12,1,0,1,0,1,0,0,0,1,1,7,2,10,10,2.66,8.46,11.29,8,21,40,47,66.47,183.47,85,3,555513,100.6145
653,3,5,3,0,1996,30,1,0,1,0,1,0,0,0,1,1,6,7,7,10,3.5,7.79,10.89,8,19,41,47,66.53,182.53,80,3,593579,99.5355
